,count,mean,std,min,25%,50%,75%,max
Sexo,1175.0,0.5514893617021277,0.4975535494769604,0.0,0.0,1.0,1.0,1.0
EdadAproxIngreso,1175.0,71.82382978723405,19.510284990587223,1.0,63.0,76.0,86.0,110.0
Creatinina_mg_dL,1170.0,1.0728461538461538,0.719257781056041,0.0,0.7,0.885,1.18,9.55
Potasio_mmol_L,1122.0,4.289928698752227,0.624424083841762,0.0,3.9,4.2,4.6,7.9
Sodio_mmol_L,1126.0,138.69387211367672,6.66435744790211,0.0,137.0,139.0,141.0,169.0
BaselineCreatinina,1173.0,1.0728047740835465,0.7185677783809675,0.0,0.7,0.88,1.18,9.55
AINE,1175.0,0.48936170212765956,0.5000996674740571,0.0,0.0,0.0,1.0,1.0
IECA,1175.0,0.08595744680851064,0.28042055583814846,0.0,0.0,0.0,0.0,1.0
ARAII,1175.0,0.06723404255319149,0.25053352038541726,0.0,0.0,0.0,0.0,1.0
DIURETICO,1175.0,0.40170212765957447,0.4904510628979041,0.0,0.0,0.0,1.0,1.0
VANCOMICINA,1175.0,0.01957446808510638,0.1385916852661388,0.0,0.0,0.0,0.0,1.0
AMINOGLUCOSIDO,1175.0,0.007659574468085106,0.08722029438611194,0.0,0.0,0.0,0.0,1.0
AKI_48h,1175.0,0.02468085106382979,0.15521665717206484,0.0,0.0,0.0,0.0,1.0
